no. vuelo,charter,fecha,origen,destino,precio adulto,precio niño,precio infante,peso incluido,precio maleta,precio caja
WQ908,CHOICE AIRE,12/14/15 11:30,HAVANA (HAV),FORT MYERS (RSW),$399.00,$399.00,125,135 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ908,CHOICE AIRE,12/18/15 12:31,HAVANA (HAV),FORT MYERS (RSW),$439.00,$439.00,125,136 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ908,CHOICE AIRE,12/21/15 11:30,HAVANA (HAV),FORT MYERS (RSW),$439.00,$439.00,125,137 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ908,CHOICE AIRE,12/25/15 12:31,HAVANA (HAV),FORT MYERS (RSW),$439.00,$439.00,125,138 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ908,CHOICE AIRE,12/28/15 11:30,HAVANA (HAV),FORT MYERS (RSW),$439.00,$439.00,125,139 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ908,CHOICE AIRE,1/1/2016 12:30:00,HAVANA (HAV),FORT MYERS (RSW),$389.00,$389.00,125,140 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ908,CHOICE AIRE,1/4/2016 11:30:00,HAVANA (HAV),FORT MYERS (RSW),$389.00,$389.00,125,141 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ908,CHOICE AIRE,1/8/2016 12:30:00,HAVANA (HAV),FORT MYERS (RSW),$389.00,$389.00,125,142 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ908,CHOICE AIRE,1/11/2016 14:56:00,HAVANA (HAV),FORT MYERS (RSW),$389.00,$389.00,125,143 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ908,CHOICE AIRE,01/15/16 12:30,HAVANA (HAV),FORT MYERS (RSW),$389.00,$389.00,125,144 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
